request,response,url,header
"Referring to SCG’s testimony, page MFL-8, lines 9-19, please explain the reason for SCG’s request in filling two existing vacancies as SCG has already requested for two additional employees in Gas Acquisition on SCG’s testimony, SCG-09, page ITC-5, lines 20-21, in Sempra’s 2016 GRC, in which Gas Procurement O&M costs for two FTE vacancies were adopted in the last decision, D.16-06-054.","The two employee scheduling positions described in 2016 GRC Exhibit SCG-09, page ITC-5, lines 20-21 were requested as an incremental increase in FTEs for a FERC proposal to increase the number of gas nomination cycles and cycle deadlines (please see 2016 GRC Exhibit SCG-09, page ITC-5, lines 13-19). These two incremental positions were requested in addition to filling Gas Acquisition vacancies that existed when the labor forecast for GRC Test Year 2016 was prepared in 2014. GRC Test Year 2019 Exhibit SCG-16 supports labor forecasts for Gas Acquisition vacancies that existed at the end of Base Year 2016 for purposes of forecasting labor requirements for Test Year 2019. The vacancies described in SCG-16 testimony are not incremental and should be filled in order to meet Gas Acquisition priorities of providing reliable gas supplies to core customers at a low cost, and to lower customer carbon emission costs.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-DR-003_FH2_C_final_P.pdf,ORA-SCG-003-FH2
"Referring to SCG’s testimony, page MFL-8, lines 13-15, SoCalGas states, “We expect these vacancies to be filled by 2017 and have scheduled these vacancies to reflect the partial filling of existing vacancies in 2017 up to full staffing levels in 2018 and 2019.” Please indicate whether SoCalGas has filled, or partially filled, the existing vacancies in 2017. If yes, provide supporting documentation which reflects this and provides details such as when the vacancy was filled and at what annual salary. If no, explain why the full or partial filling of existing vacancies in 2017 has not occurred yet.","In 2017, an unexpected retirement and other internal Gas Acquisition employee movement resulted in the necessity to fill four key positions that became vacant. These positions are unrelated to the vacancies that existed during Base Year 2016. Because of the urgency to fill these positions to continue and support Gas Acquisition transactions and department goals, Gas Acquisition Management focused primarily on filling these key positions in 2017. As a result, the “two existing vacancies” described in Exhibit SCG-19, page MFL-8, line 13, have not yet been filled; however, Gas Acquisition Management intends on filling the two vacancies as soon as practicable.",https://www.socalgas.com/regulatory/documents/a-17-10-008/ORA-DR-003_FH2_C_final_P.pdf,ORA-SCG-003-FH2
Which are the two air districts in SoCalGas’ service territory that are in extreme nonattainment? (SCG-01-R at JBL-5). How many and what type of customers does SoCalGas serve in each air district?,"South Coast Air Quality Management District (SCAQMD) and San Joaquin Valley Air Pollution Control District (SJVAPCD) are the two extreme non-attainment regions for ozone. SoCalGas provides service to more than 4.85 million active meters in SCAQMD and more than 280 thousand active meters in SJVAPCD. We serve a variety of customers in both regions including residential, commercial, industrial, agricultural, food processing and electric generation.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"For each year since 2012, provide the names and titles of the members of the SoCalGas Executive Safety committee.","SoCalGas objects to this request pursuant to Rule 10.1 of the Commission’s Rules of Practice and Procedure, on the grounds that it seeks the production of information that is neither relevant to the subject matter involved in the pending proceeding nor is likely reasonably calculated to lead to the discovery of admissible evidence, and on the grounds that the burden and intrusiveness of this request outweigh the likelihood that the information sought will lead to the discovery of admissible evidence. Subject to and without waiving the foregoing objection, SoCalGas responds as follows: only the titles of the members of the SoCalGas Executive Safety Council are provided.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"“The purpose of the [SoCalGas Executive Safety] committee is to reinforce key safety tenets and have an open dialogue to discuss safety concerns and to develop actionable plans to address the issues or concerns as warranted.” (SCG-01-R at JBL-6). In each year since 2012, what have been the “actionable plans” developed as a result of these committee meetings?","SoCalGas’ Executive Safety Council does not have formal action plans, although at each meeting, items are raised, discussed and every item addressed or followed-up upon. At every meeting, we solicit and document safety concerns through employee dialogue sessions. Our process and commitment to our employees is to follow-up within 30 days and report status on the corrective action. New programs, initiatives, and enhancements to policy and standards have improved the safety culture for our employees, contractors, and customers as a result of the dialogue between front-line employees, supervision, and top leadership.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"For each year since 2012, provide the names and titles of the members of the SDGE Executive Safety Council.","SDG&E objects to this request pursuant to Rule 10.1 of the Commission’s Rules of Practice and Procedure, on the grounds that it seeks the production of information that is neither relevant to the subject matter involved in the pending proceeding nor is likely reasonably calculated to lead to the discovery of admissible evidence, and on the grounds that the burden and intrusiveness of this request outweigh the likelihood that the information sought will lead to the discovery of admissible evidence. Subject to and without waiving the foregoing objection, SDG&E responds as follows: only the titles of the members of the SDG&E Executive Safety Council are provided.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
". “Comprised of top leadership, the [SDGE Executive Safety] council meets quarterly to engage directly with front-line employees and supervisors to listen and reinforce key safety tenets and have an open dialogue on safety issues, performance and culture.” (SDGE-01 at CAW-5). In each year since 2012, what have been the actionable plans developed as a result of these council meetings?","SDG&E’s Executive Safety Council does not have formal action plans, although at each meeting, items are raised, discussed and every item addressed or followed-up upon. At every meeting, we solicit and document safety concerns through employee dialogue sessions. Our process and commitment to our employees is to follow-up within 30 days and report status on the corrective action. New programs, initiatives, and enhancements to policy and standards have improved the safety culture for our employees, contractors, and customers as a result of the dialogue between front-line employees, supervision, and top leadership.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
Please provide copies of the National Safety Council assessment for 2013 and 2016 for SoCalGas and SDGE.,Please see the attached copies of the requested Safety Barometer Reports: NDC-SEU-002-Q6_SCG_2013_FullReport_Safety Barometer (C) NDC-SEU-002-Q6_SCG_2016_FullReport_Safety Barometer (C) NDC-SEU-002-Q6_SDGE_2013_FullReport_Safety Barometer (C) NDC-SEU-002-Q6_SDGE_2016_FullReport_Safety Barometer (C),https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"In the 2016 NSC assessment of SoCalGas, what were the three program categories that showed increases in percentile scores over 2013? Did any categories decrease in score? (SCG-01-R at JBL-7).","See Table 2 of the 2016 SoCalGas Safety Barometer for a comparison of 2013 vs. 2016 results, by category",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"In the 2016 NSC assessment of SDGE, what program categories showed the greatest decrease in percentile scores over 2013? Did any categories increase in score? (SDGE-01 at CAW-6).","See Table 2 of the 2016 SDG&E Safety Barometer for a comparison of 2013 vs. 2016 results, by category",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
What are the specific ways that SoCalGas is expanding communications and outreach activities to low-income customer and disadvantaged communities? (SCG-01-R at JBL15).,"SoCalGas is expanding its communications and outreach activities, which include targeted resources and activities for disadvantaged communities and low-income customers, as described in the following areas: Marketing and Communications – Please refer to Exhibit SCG-20-R, page ASC-19 beginning on line 3 through page ASC-20, line 10. Customer Insight and Analytics – Please refer to Exhibit SCG-20-R, page ASC-20 beginning on line 29 through page ASC-21, line 19. Digital Engagement – Please refer to Exhibit SCG-20-R, page ASC-21 beginning on line 21 through page ASC-22, line 28.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
"How do SoCalGas and SDGE define the phrase “reasonable rates” as used throughout testimony? (e.g. SCG-01-R at JBL-1, JBL-3; SDGE-01 at CAW-1, CAW-7).","The Commission defines and determines reasonable rates. See, e.g., Cal. Pub. Util. Code § 451.",https://www.socalgas.com/regulatory/documents/a-17-10-008/NDC-SEU-002_Final.pdf,NDC-SEU-002
